Rank,Squad,MP,W,D,L,GF,GA,GD,Pts
1,Arsenal,24,16,5,3,46,17,29,53
2,Manchester City,24,14,5,5,49,23,26,47
3,Aston Villa,24,14,4,6,35,26,9,46
4,Manchester United,24,11,8,5,44,36,8,41
5,Chelsea,24,11,7,6,42,27,15,40
6,Liverpool,24,11,6,7,39,33,6,39
7,Brentford,24,11,3,10,36,32,4,36
8,Fulham,24,10,4,10,34,35,-1,34
9,Everton,24,9,7,8,26,27,-1,34
10,Newcastle United,24,9,6,9,33,33,0,33
11,Sunderland,23,8,9,6,24,26,-2,33
12,Bournemouth,24,8,9,7,40,43,-3,33
13,Brighton and Hove Albion,24,7,10,7,34,32,2,31
14,Tottenham Hotspur,24,7,8,9,35,33,2,29
15,Crystal Palace,24,7,8,9,25,29,-4,29
16,Leeds United,24,6,8,10,31,42,-11,26
17,Nottingham Forest,24,7,5,12,24,35,-11,26
18,West Ham United,24,5,5,14,29,48,-19,20
19,Burnley,23,3,6,14,25,44,-19,15
20,Wolverhampton Wanderers,24,1,5,18,15,45,-30,8
