Player,Position,Age,Mins,CrdY,CrdR,Duels Won %,Tackles Won,Interceptions
Luke Shaw,DF,30,2096,4,0,91,47,27
Bruno Fernandes,MF,31,1809,2,0,88,38,12
Casemiro,MF,33,1563,6,1,102,50,15
Diogo Dalot,DF,26,1675,3,0,78,31,15
Bryan Mbeumo,MF,26,1636,3,0,54,13,3
Senne Lammens,GK,23,1620,0,0,7,1,0
Matheus Cunha,FW,26,1490,1,0,101,22,12
Amad Diallo,MF,23,1474,1,0,85,26,10
Patrick Dorgu,MF,21,1333,5,0,137,46,14
Matthijs de Ligt,DF,26,1170,0,0,68,19,11
Leny Yoro,DF,20,1144,0,0,55,22,16
Benjamin Sesko,FW,22,1066,1,0,58,5,3
Mason Mount,MF,27,821,0,0,33,14,3
Ayden Heaven,DF,19,640,1,0,40,15,1
Manuel Ugarte,MF,24,751,1,0,69,41,16
Lisandro Martinez,DF,28,725,0,0,25,7,7
Altay Bayindir,GK,27,540,0,0,5,0,0
Harry Maguire,DF,32,614,1,0,35,7,3
Noussair Mazraoui,DF,28,449,1,0,31,15,5
Joshua Zirkzee,FW,24,483,1,0,30,7,1
Kobbie Mainoo,MF,20,498,0,0,31,13,3
Jack Fletcher,MF,18,108,0,0,7,5,1
Bendito Mantato,FW,18,16,0,0,0,0,0
Shea Lacey,FW,18,12,0,0,1,0,0
Tyler Fredricson,DF,20,2,0,0,0,0,0
Tyrell Malacia,DF,26,3,0,0,1,1,0
