Player ID,Player,Position,Age,Nationality,Preferred Foot,Club Joining Date,Market Value (EUR)
1,Matthijs de Ligt,DF,26,Netherlands,Right,8/14/2024,40000000
2,Bruno Fernandes,MF,31,Portugal,Right,1/30/2020,40000000
3,Bryan Mbeumo,MF,26,Cameroon,Left,7/1/2025,75000000
4,Luke Shaw,DF,30,England,Left,6/27/2014,10000000
5,Casemiro,MF,33,Brazil,Right,8/22/2022,8000000
6,Diogo Dalot,DF,26,Portugal,Right,6/6/2018,28000000
7,Senne Lammens,GK,23,Belgium,Right,7/1/2025,25000000
8,Matheus Cunha,FW,26,Brazil,Right,7/1/2025,70000000
9,Amad Diallo,MF,23,Ivory Coast,Left,1/7/2021,50000000
10,Patrick Dorgu,MF,21,Denmark,Left,7/1/2025,30000000
11,Leny Yoro,DF,20,France,Right,7/18/2024,55000000
12,Benjamin Sesko,FW,22,Slovenia,Right,7/1/2025,60000000
13,Mason Mount,MF,27,England,Right,7/5/2023,32000000
14,Ayden Heaven,DF,19,England,Left,7/1/2024,10000000
15,Manuel Ugarte,MF,24,Uruguay,Right,8/30/2024,30000000
16,Altay Bayindir,GK,27,Turkey,Right,9/1/2023,7000000
17,Noussair Mazraoui,DF,28,Morocco,Right,8/14/2024,22000000
18,Lisandro Martinez,DF,28,Argentina,Left,7/27/2022,35000000
19,Harry Maguire,DF,32,England,Right,8/5/2019,10000000
20,Joshua Zirkzee,FW,24,Netherlands,Right,7/14/2024,25000000
21,Kobbie Mainoo,MF,20,England,Right,1/1/2023,40000000
22,Jack Fletcher,MF,18,England,Right,7/1/2024,1000000
23,Bendito Mantato,MF,17,England,Left,7/1/2025,1000000
24,Shea Lacey,FW,18,England,Left,7/1/2025,2000000
25,Tyler Fredricson,DF,20,England,Right,7/1/2023,3000000
26,Tyrell Malacia,DF,26,Netherlands,Left,7/5/2022,5000000
27,Chido Obi,FW,18,Denmark,Right,7/1/2025,5000000
28,Diego Leon,DF,18,Paraguay,Left,7/1/2025,4000000
29,Tom Heaton,GK,39,England,Right,7/2/2021,150000
