Player,Position,Pitch_X,Pitch_Y,Rating,Market_Value
Matthijs de Ligt,DF,50,25,86,€65M
Bruno Fernandes,MF,50,65,88,€70M
Bryan Mbeumo,MF,85,80,82,€45M
Luke Shaw,DF,15,25,80,€28M
Casemiro,MF,40,45,84,€20M
Diogo Dalot,DF,85,25,83,€40M
Senne Lammens,GK,50,5,74,€8M
Matheus Cunha,FW,15,80,83,€45M
Amad Diallo,MF,80,75,81,€35M
Patrick Dorgu,MF,20,60,76,€15M
Leny Yoro,DF,55,25,78,€45M
Benjamin Sesko,FW,50,90,84,€55M
Mason Mount,MF,40,60,79,€30M
Ayden Heaven,DF,30,25,68,€5M
Manuel Ugarte,MF,60,45,82,€50M
Altay Bayindir,GK,40,5,76,€10M
Noussair Mazraoui,DF,90,25,80,€25M
Lisandro Martinez,DF,35,25,84,€45M
Harry Maguire,DF,45,25,78,€15M
Joshua Zirkzee,FW,40,85,79,€35M
Kobbie Mainoo,MF,50,50,82,€50M
Jack Fletcher,MF,55,48,70,€5M
Bendito Mantato,MF,90,75,67,€3M
Shea Lacey,FW,20,75,69,€4M
Tyler Fredricson,DF,52,22,66,€2M
Tyrell Malacia,DF,10,25,77,€15M
Chido Obi,FW,60,85,68,€5M
Diego Leon,DF,20,25,65,€2M
Tom Heaton,GK,60,5,72,€1M
