Player,Link
Bruno Fernandes,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464002/8-Bruno-Fernandes1751376414332.png
Amad Diallo,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464011/16-Amad1751380726914.png
Alejandro Garnacho,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464012/17-Alejandro-Garnacho1751380793260.png
Rasmus Hojlund,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464008/9-Rasmus-Hojlund1751380459600.png
Marcus Rashford,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464009/10-Marcus-Rashford1751380547244.png
Matthijs de Ligt,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463990/4-Matthijs-DeLigt1751367748460.png
Lisandro Martinez,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463992/6-Lisandro-Martinez1751369212439.png
Diogo Dalot,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463996/20-Diogo-Dalot1751370735578.png
Manuel Ugarte,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464004/25-Manuel-Ugarte1751376544180.png
Casemiro,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464003/18-Casemiro1751376486567.png
Mason Mount,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464001/7-Mason-Mount1751376324854.png
Christian Eriksen,https://assets.manutd.com/AssetPicker/images/0/0/20/88/1333345/14-Christian-Eriksen1719822734638.png
Harry Maguire,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463991/5-Harry-Maguire1751368300280.png
Noussair Mazraoui,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463989/3-Noussair-Mazraoui1751367211444.png
Kobbie Mainoo,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464005/37-Kobbie-Mainoo1751376603962.png
Victor Lindelof,https://www.nicepng.com/png/full/365-3656580_victor-nilsson-lindelf-render-manchester-united-f-c.png
Luke Shaw,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463997/23-Luke-Shaw1751371146122.png
Tyrell Malacia,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463993/12-Tyrell-Malacia1751369635171.png
Antony,https://www.footyrenders.com/render/antony-23.png
Jonny Evans,https://i.postimg.cc/ZbwGv3dt/c-JBTdw-WKLw-a-Kqh9atg9vzp-E55Hxg-V4uui-Q0HFGqt7v-TPZXLMoq-Gh6UVM1bt-CVJ0d8Xj-E5F3P7o-QMP7UXazu-Fw.png
Scott McTominay,https://www.footyrenders.com/render/Scott-McTominay-2.png
Andre Onana,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463988/24-Andre-Onana1751366049240.png
Altay Bayindir,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463986/1-Altay-Bayindir1751365341057.png
Tyler Fredricson,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464000/55-Tyler-Fredricson1751372641327.png
Ayden Heaven,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463998/26-Ayden-Heaven1751372132113.png
Toby Collyer,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464006/43-Toby-Collyer1751376662990.png
Chidozie Obi-Martin,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464015/56-Chido-Obi1751383099425.png
Patrick Dorgu,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1463994/13-Patrick-Dorgu1751369796604.png
Joshua Zirkzee,https://assets.manutd.com/AssetPicker/images/0/0/22/86/1464010/11-Joshua-Zirkzee1751380664807.png
Benjamin Sesko,https://assets.manutd.com/AssetPicker/images/0/0/22/130/1475214/BS-PlayerProfle-Cutout1754911861459.png
Matheus Cunha,https://assets.manutd.com/AssetPicker/images/0/0/22/85/1463572/MATHEUS_CUNHA_PORTRAIT_81750949982541.png
Bryan Mbeumo,https://assets.manutd.com/AssetPicker/images/0/0/22/99/1467343/BM-PlayerProfle-Cutout1753177567514.png
Senne Lammens,https://assets.manutd.com/AssetPicker/images/0/0/22/207/1494871/SL-PlayerProfle-Cutout1756802312073.png
